"AMISTADES EN LAS ALTAS ESFERAS","LEON, DONNA","BIB"
"ONCE","HIGHSMITH, PATRICIA","BIB"
"PERDIDA EN SU MEMORIA","CLARK, MARY HIGGINS","BIB"
"CIEN AÑOS DE SOLEDAD","GARCÍA MÁRQUEZ, GABRIEL","SAL"
"EL MIEDO DE MONTALBANO","CAMILLERI, ANDREA","BIB"
"FUEGO","PARETSKY, SARA","BIB"
"VENENO PARA LA CORONA","MARTÍNEZ DE LEZEA, TOTI","BIB"
"LA FLOR DE LA ARGOMA","MARTÍNEZ DE LEZEA, TOTI","BIB"
"JUEGO DE ESPEJOS","CAMILLERI, ANDREA","BIB"
"P DE PELIGRO","GRAFTON, SUE","BIB"
"EL LADRÓN DE MERIENDAS","CAMILLERI, ANDREA","BIB"
"PRUEBAS FALSAS","LEON, DONNA","BIB"
"JUSTICIA UNIFORME","LEON, DONNA","BIB"
"Q DE QUIEN","GRAFTON, SUE","BIB"
"N DE NUDO","GRAFTON, SUE","BIB"
"UN GIRO DECISIVO","CAMILLERI, ANDREA","BIB"
"LA LUNA DE PAPEL","CAMILLERI, ANDREA","BIB"
"PRIVADO DE TÍTULO","CAMILLERI, ANDREA","BIB"
"R DE REBELDE","GRAFTON, SUE","BIB"
"EL HUEVO DE ORO","LEON, DONNA","BIB"
"MALAS ARTES","LEON, DONNA","BIB"
"PIEDRAS ENSANGRENTADAS","LEON, DONNA","BIB"
"MUERTE ENTRE LINEAS","LEON, DONNA","BIB"
"VENENO DE CRISTAL","LEON, DONNA","BIB"
"LA PACIENCIA DE LA ARAÑA","CAMILLERI, ANDREA","BIB"
"O DE ODIO","GRAFTON, SUE","BIB"
"KINSEY Y YO","GRAFTON, SUE","BIB"
"LA CARA OTRA CARA DE LA VERDAD","LEON, DONA","BIB"
"S DE SILENCIO","GRAFTON, SUE","BIB"
"LA PISTA DE ARENA","CAMILLERI, ANDREA","BIB"
"LA DANZA DE LA GAVIOTA","CAMILLERI, ANDREA","BIB"
"PERSECUCIÓN MORTAL","LEONARD, ELMORE","BIB"
"LA  PALABRA SE HIZO CARNE","LEON, DONNA","BIB"
"LA BÚSQUEDA DEL TESORO","CAMILLERI, ANDREA","BIB"
"U DE ULTIMATUM","GRAFTON, SUE","BIB"
"T DE TRAMPA","GRAFTON, SUE","BIB"
"LA SONRISA DE ANGÉLICA","CAMILLERI, ANDREA","BIB"
"LA OCTAVA VÍCTIMA","JAMES, P.D.","BIB"
"LAS ALAS DE LA ESFINGE","CAMILLERI, ANDREA","BIB"
"MUERTE EN MAR ABIERTO","CAMILLERI, ANDREA","BIB"
"V DE VENGANZA","GRAFTON, SUE","BIB"
"EL GUARDIÁN INVISIBLE","REDONDO, DOLORES","AIN"
"LEGADO EN LOS HUESOS","REDONDO, DOLORES","AIN"
"OFRENDA A LA TORMENTA","REDONDO, DOLORES","AIN"
"LA CALLE DE LA JUDERÍA","MARTINEZ DE LEZEA, TOTI","BIB"
"X DE RAYOS X","GRAFTON, SUE","BIB"
"EL COLOR DEL SOL","CAMILLERI, ANDREA","BIB"
"¿POR QUÉ LOS ASTRONAUTAS NO LLORAN?","ALCALDE, JORGE","ANT"
"HISTORIA DE UNA ENFERMERA","MONTALVO, LOLA","SAL"
"ORIGEN","BROWN, DAN","SAL"
"LA VOZ DEL VIOLÍN","CAMILLERI, ANDREA","BIB"
"LA ABADESA MARÍA, LA EXCELENTA","MARTÍNEZ DE LEZEA, TOTI","BIB"
